MA_FAST,MA_SLOW,MA_TREND,POSITION_PCT,MAX_POSITION_PCT,STOP_LOSS_PCT,TRAILING_STOP_PCT,MAX_DRAWDOWN_LIMIT,PARTIAL_PROFIT_ENABLED,total_return,annual_return,max_drawdown,sharpe,trades,win_rate,final_value
5,30,0,0.9,0.35,0.1,0.25,0.3,True,0.42111697785839997,0.17703034205692658,-0.10939298919457739,0.9208855886533381,254,0.6987951807228916,1421116.9778584
5,30,0,0.9,0.35,0.1,0.5,0.5,True,0.42111697785839997,0.17703034205692658,-0.10939298919457739,0.9208855886533381,254,0.6987951807228916,1421116.9778584
5,30,0,0.9,0.35,0.1,0.5,0.3,True,0.42111697785839997,0.17703034205692658,-0.10939298919457739,0.9208855886533381,254,0.6987951807228916,1421116.9778584
5,30,0,0.7,0.5,0.2,0.25,0.3,False,0.4194558059080006,0.17639203930341307,-0.14678815187626523,0.789051907887378,162,0.550561797752809,1419455.8059080006
5,30,0,0.7,0.5,0.2,0.25,0.5,False,0.4194558059080006,0.17639203930341307,-0.14678815187626523,0.789051907887378,162,0.550561797752809,1419455.8059080006
5,30,0,0.7,0.5,0.2,0.5,0.3,False,0.4194558059080006,0.17639203930341307,-0.14678815187626523,0.789051907887378,162,0.550561797752809,1419455.8059080006
5,30,0,0.7,0.5,0.2,0.5,0.5,False,0.4194558059080006,0.17639203930341307,-0.14678815187626523,0.789051907887378,162,0.550561797752809,1419455.8059080006
5,30,0,0.9,0.35,0.2,0.5,0.3,True,0.41849337562020006,0.17602204368308105,-0.11120315300045155,0.9223460507334552,247,0.7239263803680982,1418493.3756202
5,30,0,0.9,0.35,0.2,0.5,0.5,True,0.41849337562020006,0.17602204368308105,-0.11120315300045155,0.9223460507334552,247,0.7239263803680982,1418493.3756202
5,30,0,0.9,0.35,0.2,0.25,0.3,True,0.41849337562020006,0.17602204368308105,-0.11120315300045155,0.9223460507334552,247,0.7239263803680982,1418493.3756202
5,30,0,0.9,0.35,0.2,0.25,0.5,True,0.41849337562020006,0.17602204368308105,-0.11120315300045155,0.9223460507334552,247,0.7239263803680982,1418493.3756202
5,30,0,0.7,0.5,0.1,0.25,0.3,False,0.4173075455948007,0.17556597936503482,-0.14575069177061953,0.7857979488927714,164,0.5444444444444444,1417307.5455948007
5,30,0,0.7,0.5,0.1,0.25,0.5,False,0.4173075455948007,0.17556597936503482,-0.14575069177061953,0.7857979488927714,164,0.5444444444444444,1417307.5455948007
5,30,0,0.7,0.5,0.1,0.5,0.5,False,0.4173075455948007,0.17556597936503482,-0.14575069177061953,0.7857979488927714,164,0.5444444444444444,1417307.5455948007
5,30,0,0.7,0.5,0.1,0.5,0.3,False,0.4173075455948007,0.17556597936503482,-0.14575069177061953,0.7857979488927714,164,0.5444444444444444,1417307.5455948007
5,30,0,0.7,0.35,0.2,0.25,0.5,True,0.4162448994580004,0.17515711709555903,-0.10892989127525303,0.918901866370911,269,0.7222222222222222,1416244.8994580004
5,30,0,0.7,0.35,0.2,0.25,0.3,True,0.4162448994580004,0.17515711709555903,-0.10892989127525303,0.918901866370911,269,0.7222222222222222,1416244.8994580004
5,30,0,0.7,0.35,0.2,0.5,0.5,True,0.4162448994580004,0.17515711709555903,-0.10892989127525303,0.918901866370911,269,0.7222222222222222,1416244.8994580004
5,30,0,0.7,0.35,0.2,0.5,0.3,True,0.4162448994580004,0.17515711709555903,-0.10892989127525303,0.918901866370911,269,0.7222222222222222,1416244.8994580004
5,30,0,0.5,0.5,0.2,0.25,0.3,True,0.41415533309680086,0.1743526583688062,-0.10135778225774282,0.9422797696286853,268,0.7191011235955056,1414155.3330968008
5,30,0,0.5,0.5,0.2,0.25,0.5,True,0.41415533309680086,0.1743526583688062,-0.10135778225774282,0.9422797696286853,268,0.7191011235955056,1414155.3330968008
5,30,0,0.5,0.5,0.2,0.5,0.3,True,0.41415533309680086,0.1743526583688062,-0.10135778225774282,0.9422797696286853,268,0.7191011235955056,1414155.3330968008
5,30,0,0.5,0.5,0.2,0.5,0.5,True,0.41415533309680086,0.1743526583688062,-0.10135778225774282,0.9422797696286853,268,0.7191011235955056,1414155.3330968008
10,20,0,0.9,0.5,0.1,0.15,0.5,False,0.4132519789267997,0.17400468019650694,-0.15351051247938566,0.7940680897248742,158,0.5340909090909091,1413251.9789267997
10,20,0,0.9,0.5,0.1,0.15,0.3,False,0.4132519789267997,0.17400468019650694,-0.15351051247938566,0.7940680897248742,158,0.5340909090909091,1413251.9789267997
5,30,0,0.5,0.5,0.2,0.25,0.3,False,0.4127234498674008,0.17380103190072882,-0.13971379974061998,0.8086199327865489,170,0.5591397849462365,1412723.4498674008
5,30,0,0.5,0.5,0.2,0.25,0.5,False,0.4127234498674008,0.17380103190072882,-0.13971379974061998,0.8086199327865489,170,0.5591397849462365,1412723.4498674008
