MA_FAST,MA_SLOW,MA_TREND,POSITION_PCT,MAX_POSITION_PCT,SELL_COOLDOWN_BARS,STOP_LOSS_PCT,PARTIAL_PROFIT_ENABLED,MACD_BUY_ENABLED,total_return,max_drawdown,sharpe,trades
10,30,0,0.9,0.35,2,0.15,False,True,41.63766745207997,-14.241399289734339,0.7329886346207611,112
10,30,0,0.8,0.25,2,0.12,False,True,41.63499671024005,-12.546691722104942,0.7796104654640785,153
10,30,0,0.7,0.25,2,0.15,False,True,41.411390407579994,-12.597026009991161,0.7750937955886561,156
5,20,0,0.8,0.3,3,0.2,False,True,41.36549395888001,-12.144150508120523,0.7815170882625451,299
5,20,0,0.8,0.3,3,0.15,False,True,41.36549395888001,-12.144150508120523,0.7815170882625451,299
10,30,0,0.7,0.35,2,0.2,False,True,41.23979758659993,-12.570094085271366,0.7701447494866859,136
10,30,0,0.9,0.35,3,0.12,False,True,41.02843851871996,-13.252289009448976,0.7278537684250151,118
5,20,0,0.9,0.3,3,0.2,False,True,41.00181256283999,-13.409413613274848,0.7675684251001986,295
5,20,0,0.9,0.3,3,0.15,False,True,41.00181256283999,-13.409413613274848,0.7675684251001986,295
5,20,0,0.8,0.2,3,0.12,False,True,40.94585864974002,-13.864425317039592,0.838858941646768,330
5,20,0,0.9,0.2,3,0.12,False,True,40.94585864974002,-13.864425317039592,0.838858941646768,330
10,30,0,0.9,0.35,2,0.12,False,True,40.85410705967995,-13.252289009448976,0.7250112059838569,119
5,20,0,0.7,0.2,3,0.12,False,True,40.78730784697996,-13.575247914610058,0.844759320363454,341
10,30,0,0.9,0.2,2,0.2,False,True,40.51474490831995,-12.134514813966444,0.7594543399521494,167
10,30,0,0.8,0.2,2,0.2,False,True,40.51474490831995,-12.134514813966444,0.7594543399521494,167
10,30,0,0.8,0.25,3,0.12,False,True,40.442631407880036,-13.083204094809627,0.7566280677057655,150
10,30,0,0.7,0.2,2,0.12,False,True,40.32306090173996,-12.012899704766014,0.7654238060619287,175
5,20,0,0.8,0.25,3,0.12,False,True,40.31097824244006,-11.635020467603754,0.8035906736440828,305
10,30,0,0.8,0.35,2,0.12,False,True,40.24435139668002,-12.791975665424452,0.7674857367918722,134
10,30,0,0.8,0.2,2,0.15,False,True,40.180262397659945,-12.134514813966444,0.7537321476024503,169
10,30,0,0.9,0.2,2,0.15,False,True,40.180262397659945,-12.134514813966444,0.7537321476024503,169
10,30,0,0.7,0.35,2,0.15,False,True,40.01327232139995,-12.570094085271366,0.748737082891742,136
10,30,0,0.7,0.25,3,0.2,False,True,39.96562415797999,-12.597026009991161,0.7485381668379467,153
10,30,0,0.9,0.25,3,0.2,False,True,39.88539971556002,-12.557059490667037,0.74050302296518,144
10,30,0,0.7,0.3,2,0.12,False,True,39.78512469399993,-12.967257976014961,0.7649808865369214,158
10,30,0,0.7,0.2,3,0.2,False,True,39.72185511298002,-12.416488695195103,0.7449193549848067,170
10,30,0,0.7,0.25,3,0.15,False,True,39.63545611493997,-12.597026009991161,0.742039835479657,155
5,20,0,0.7,0.2,2,0.12,False,True,39.370490053899914,-14.061616119707503,0.8201275810096494,345
10,30,0,0.9,0.25,3,0.12,False,True,39.351876090820014,-12.557059490667037,0.7315019270679121,146
10,30,0,0.9,0.25,3,0.15,False,True,39.351876090820014,-12.557059490667037,0.7315019270679121,146
10,30,0,0.7,0.2,3,0.15,False,True,39.29677607154004,-12.682946043627036,0.7376142928397426,172
10,30,0,0.8,0.35,3,0.12,False,True,39.21903670932001,-13.42954621507873,0.7467692516411805,134
10,30,0,0.7,0.35,2,0.12,False,True,39.11547445469994,-12.554748250852327,0.7459744606049862,138
10,30,0,0.9,0.25,2,0.2,False,True,39.05023588230002,-12.557059490667037,0.7271651492691951,147
10,30,0,0.7,0.25,2,0.12,False,True,39.03944575061998,-12.65245424229634,0.7453232223933094,158
10,30,0,0.7,0.35,3,0.2,False,True,38.91105937425995,-12.619905079919183,0.7281980214613015,134
5,20,0,0.9,0.2,2,0.12,False,True,38.77652484620004,-14.10469806807019,0.8025883949772735,326
5,20,0,0.8,0.2,2,0.12,False,True,38.77652484620004,-14.10469806807019,0.8025883949772735,326
5,20,0,0.9,0.25,3,0.12,False,True,38.711289789859904,-11.648821663296067,0.7749673150135483,301
10,20,0,0.7,0.2,2,0.12,False,True,38.569262107419966,-11.901241995462897,0.8145697810357856,299
