VOL_CONFIRM_RATIO,RSI_BUY_MAX,SURGE_MAX_PCT,SELL_COOLDOWN_BARS,total_return,annual_return,max_drawdown,sharpe,trades,win_rate,final_value
0.0,80,0.3,5,0.4470504096945997,0.18694381085670586,-0.12040951352459126,0.870865407988757,165,0.5,1447050.4096945997
0.0,85,0.0,5,0.4470504096945997,0.18694381085670586,-0.12040951352459126,0.870865407988757,165,0.5,1447050.4096945997
0.5,100,0.0,5,0.4470504096945997,0.18694381085670586,-0.12040951352459126,0.870865407988757,165,0.5,1447050.4096945997
0.3,85,0.0,5,0.4470504096945997,0.18694381085670586,-0.12040951352459126,0.870865407988757,165,0.5,1447050.4096945997
0.0,85,0.3,5,0.4470504096945997,0.18694381085670586,-0.12040951352459126,0.870865407988757,165,0.5,1447050.4096945997
0.3,100,0.0,5,0.4470504096945997,0.18694381085670586,-0.12040951352459126,0.870865407988757,165,0.5,1447050.4096945997
0.3,85,0.3,5,0.4470504096945997,0.18694381085670586,-0.12040951352459126,0.870865407988757,165,0.5,1447050.4096945997
0.3,100,0.3,5,0.4470504096945997,0.18694381085670586,-0.12040951352459126,0.870865407988757,165,0.5,1447050.4096945997
0.3,80,0.1,3,0.4442633837280001,0.18588301926415407,-0.12654656796582275,0.8574522610796378,178,0.5510204081632653,1444263.383728
0.3,85,0.1,3,0.4442633837280001,0.18588301926415407,-0.12654656796582275,0.8574522610796378,178,0.5510204081632653,1444263.383728
0.3,100,0.1,3,0.4442633837280001,0.18588301926415407,-0.12654656796582275,0.8574522610796378,178,0.5510204081632653,1444263.383728
0.0,80,0.1,3,0.4442633837280001,0.18588301926415407,-0.12654656796582275,0.8574522610796378,178,0.5510204081632653,1444263.383728
0.0,100,0.1,3,0.4442633837280001,0.18588301926415407,-0.12654656796582275,0.8574522610796378,178,0.5510204081632653,1444263.383728
0.3,75,0.1,3,0.4442633837280001,0.18588301926415407,-0.12654656796582275,0.8574522610796378,178,0.5510204081632653,1444263.383728
0.0,85,0.1,3,0.4442633837280001,0.18588301926415407,-0.12654656796582275,0.8574522610796378,178,0.5510204081632653,1444263.383728
0.0,75,0.1,3,0.4442633837280001,0.18588301926415407,-0.12654656796582275,0.8574522610796378,178,0.5510204081632653,1444263.383728
0.5,75,0.0,3,0.4441577643194001,0.18584279706347595,-0.11741610835436417,0.8758654269055431,177,0.5463917525773195,1444157.7643194
0.5,75,0.2,3,0.4441577643194001,0.18584279706347595,-0.11741610835436417,0.8758654269055431,177,0.5463917525773195,1444157.7643194
0.5,75,0.3,3,0.4441577643194001,0.18584279706347595,-0.11741610835436417,0.8758654269055431,177,0.5463917525773195,1444157.7643194
0.5,80,0.3,3,0.4441577643194001,0.18584279706347595,-0.11741610835436417,0.8758654269055431,177,0.5463917525773195,1444157.7643194
0.5,85,0.0,3,0.4441577643194001,0.18584279706347595,-0.11741610835436417,0.8758654269055431,177,0.5463917525773195,1444157.7643194
0.5,100,0.2,3,0.4441577643194001,0.18584279706347595,-0.11741610835436417,0.8758654269055431,177,0.5463917525773195,1444157.7643194
0.5,100,0.3,3,0.4441577643194001,0.18584279706347595,-0.11741610835436417,0.8758654269055431,177,0.5463917525773195,1444157.7643194
0.5,100,0.0,3,0.4441577643194001,0.18584279706347595,-0.11741610835436417,0.8758654269055431,177,0.5463917525773195,1444157.7643194
0.5,85,0.2,3,0.4441577643194001,0.18584279706347595,-0.11741610835436417,0.8758654269055431,177,0.5463917525773195,1444157.7643194
0.5,80,0.2,3,0.4441577643194001,0.18584279706347595,-0.11741610835436417,0.8758654269055431,177,0.5463917525773195,1444157.7643194
0.5,80,0.0,3,0.4441577643194001,0.18584279706347595,-0.11741610835436417,0.8758654269055431,177,0.5463917525773195,1444157.7643194
0.5,85,0.3,3,0.4441577643194001,0.18584279706347595,-0.11741610835436417,0.8758654269055431,177,0.5463917525773195,1444157.7643194
0.0,70,0.3,5,0.4360184143023996,0.18273839483376775,-0.12414613498188622,0.8513620407470184,162,0.4883720930232558,1436018.4143023996
0.3,70,0.3,5,0.4360184143023996,0.18273839483376775,-0.12414613498188622,0.8513620407470184,162,0.4883720930232558,1436018.4143023996
0.3,70,0.0,5,0.4360184143023996,0.18273839483376775,-0.12414613498188622,0.8513620407470184,162,0.4883720930232558,1436018.4143023996
0.0,75,0.0,5,0.4360184143023996,0.18273839483376775,-0.12414613498188622,0.8513620407470184,162,0.4883720930232558,1436018.4143023996
0.3,75,0.3,5,0.4360184143023996,0.18273839483376775,-0.12414613498188622,0.8513620407470184,162,0.4883720930232558,1436018.4143023996
0.3,75,0.0,5,0.4360184143023996,0.18273839483376775,-0.12414613498188622,0.8513620407470184,162,0.4883720930232558,1436018.4143023996
0.5,75,0.3,5,0.4360184143023996,0.18273839483376775,-0.12414613498188622,0.8513620407470184,162,0.4883720930232558,1436018.4143023996
0.5,70,0.3,5,0.4360184143023996,0.18273839483376775,-0.12414613498188622,0.8513620407470184,162,0.4883720930232558,1436018.4143023996
0.5,70,0.0,5,0.4360184143023996,0.18273839483376775,-0.12414613498188622,0.8513620407470184,162,0.4883720930232558,1436018.4143023996
0.0,75,0.3,5,0.4360184143023996,0.18273839483376775,-0.12414613498188622,0.8513620407470184,162,0.4883720930232558,1436018.4143023996
0.0,70,0.0,5,0.4360184143023996,0.18273839483376775,-0.12414613498188622,0.8513620407470184,162,0.4883720930232558,1436018.4143023996
0.5,75,0.0,5,0.4360184143023996,0.18273839483376775,-0.12414613498188622,0.8513620407470184,162,0.4883720930232558,1436018.4143023996
